id,class_level,subject,study_hours,test_scores,week,attendance_rate,gender
1,6,Math,12,78,1,92,Male
2,7,English,10,74,1,88,Female
3,8,Science,14,85,1,95,Male
4,9,Math,8,69,1,80,Female
5,10,ICT,16,91,1,97,Male
6,6,Bangla,9,71,1,84,Female
7,7,Science,13,82,1,90,Male
8,8,English,11,76,1,86,Female
9,9,Math,15,88,1,94,Male
10,10,ICT,7,65,1,78,Female
11,6,Science,10,73,2,85,Male
12,7,Bangla,12,79,2,89,Female
13,8,Math,14,87,2,96,Male
14,9,English,9,70,2,82,Female
15,10,Science,17,93,2,98,Male
16,6,ICT,8,67,2,79,Female
17,7,Math,13,84,2,91,Male
18,8,Bangla,11,75,2,87,Female
19,9,Science,15,89,2,95,Male
20,10,English,6,61,2,74,Female
